physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,9.4,34,16,-0.3,0.3444,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,10.23,26,13,0.38,0.3954,SMD,SMD
Sleep_REM,Sleep,Sleep_REM sleep (%)_SMD,,27.2,30,20,-0.37,0.3903,SMD,SMD
Sleep_REM activity,Sleep,Sleep_REM sleep (%)_SMD,,18.2,18,10,0.2249,0.4758,SMD,SMD
Sleep_REM density,Sleep,Sleep_REM sleep (%)_SMD,,18.2,18,10,0.5139,0.482,SMD,SMD
Sleep_REM density,Sleep,Sleep_REM sleep (%)_SMD,,21.5,27,15,-1.2685,0.424,SMD,SMD
sleep_REM density(no./h REM sleep),Sleep,Sleep_REM sleep (%)_SMD,,8.72,18,13,-0.2,0.5255,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,12.7,20,8,0.117,0.4568,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,11.9,22,10,-0.771,0.4437,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,22.1,32,16,-0.1248,0.3539,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,24.2,22,6,-0.6192,0.4877,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,20.9,26,10,0.1974,0.404,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,9.4,34,16,-0.794,0.3568,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,13.3,9,4,0.28,0.6786,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,10.36,18,13,-0.2,0.5281,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,5.32,52,40,0.82,0.3418,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,7.8,44,21,0.34,0.3036,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,10.27,24,11,-0.43,0.4158,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,21.1,105,27,-0.03,0.223,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,27.2,30,20,0.366,0.39,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,21.6,28,17,-0.1,0.3878,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,21.7,29,17,0.03,0.375,SMD,SMD
Sleep_REM latency,Sleep,Sleep_REM latency_SMD,,27.2,30,20,0.36,0.3903,SMD,SMD
sleep_REM latency(min),Sleep,Sleep_REM latency_SMD,,8.72,18,13,-0.2,0.5281,SMD,SMD
sleep_REM latency(min),Sleep,Sleep_REM latency_SMD,,6.225,21,11,-0.15,0.3852,SMD,SMD
Sleep_REM sleep,Sleep,Sleep_REM sleep (%)_SMD,,27.2,30,20,-0.376,0.39,SMD,SMD
Sleep_REM sleep latency,Sleep,Sleep_REM latency_SMD,,22.6,16,8,0.832,0.5212,SMD,SMD
Sleep_REM sleep latency,Sleep,Sleep_REM latency_SMD,,21.5,27,15,0.0361,0.3873,SMD,SMD
sleep_REM sleep(%),Sleep,Sleep_REM sleep (%)_SMD,,8.72,18,13,-0.72,0.5434,SMD,SMD
sleep_REM sleep(%),Sleep,Sleep_REM sleep (%)_SMD,,6.225,21,11,-0.25,0.3878,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,12.7,20,8,-0.709,0.47,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,11.9,22,10,-0.389,0.4322,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,18.2,18,10,-1.7478,0.5567,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,5.5,34,22,-1.4788,0.4012,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,5.1,30,18,-3.3234,0.5683,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,22.1,32,16,1.3766,0.3932,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,24.2,22,6,1.9227,0.5596,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,20.9,26,10,0.6209,0.4122,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,22.6,16,8,0.3836,0.5046,SMD,SMD
Sleep_REM%,Sleep,Sleep_REM sleep (%)_SMD,,21.5,27,15,0.1684,0.388,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,12.7,20,8,0.195,0.4575,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,11.9,22,10,0.341,0.4312,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,18.2,18,10,0.3646,0.4782,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,8.72,18,13,-0.5913,0.5354,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,5.5,34,22,0.4805,0.3636,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,5.1,30,18,0.2284,0.3738,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,22.1,32,16,3.0219,0.5174,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,24.2,22,6,2.5695,0.6158,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,20.9,26,10,3.087,0.588,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,9.4,34,16,0.3034,0.3456,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,27.2,30,20,1.9,0.4584,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,13.3,9,4,1.14,0.7602,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,10.36,18,13,-0.56,0.5383,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,7.8,44,21,0.28,0.3036,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,11.3,36,19,1.71,0.3954,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,22.6,16,8,2.033,0.6158,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,21.5,27,15,0.644,0.3971,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,21.1,105,27,0.879,0.231,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,27.2,30,20,0.464,0.392,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,21.7,29,17,0.59,0.3852,SMD,SMD
Sleep_S1,Sleep,Sleep_S1 (%)_SMD,,27.2,30,20,0.45,0.3929,SMD,SMD
sleep_S1(%),Sleep,Sleep_S1 (%)_SMD,,10.27,26,13,0.54,0.4005,SMD,SMD
sleep_S1(%),Sleep,Sleep_S1 (%)_SMD,,6.225,21,11,-0.46,0.3903,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,12.7,20,8,-0.544,0.4645,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,11.9,22,10,-0.476,0.4341,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,18.2,18,10,-0.4908,0.4813,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,8.72,18,13,-0.4873,0.5325,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,5.5,34,22,1.3668,0.3953,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,5.1,30,18,2.0546,0.4574,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,22.1,32,16,0.5238,0.3596,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,24.2,22,6,0.8095,0.494,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,20.9,26,10,0.3115,0.4054,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,13.3,9,4,-1.85,0.8852,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,10.36,18,13,-0.46,0.5332,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,7.8,44,21,0,0.3036,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,10.27,24,11,0.49,0.4184,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,11.3,36,19,1.24,0.3699,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,9.4,34,16,-0.45,0.3469,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,22.6,16,8,-2.5451,0.6726,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,21.1,105,27,0.131,0.223,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,27.2,30,20,-0.691,0.397,SMD,SMD
Sleep_S2,Sleep,Sleep_S2 (%)_SMD,,27.2,30,20,-0.67,0.398,SMD,SMD
sleep_S2(%),Sleep,Sleep_S2 (%)_SMD,,6.225,21,11,-0.41,0.3903,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5.5,34,22,0.1224,0.3592,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5.1,30,18,0.0086,0.3727,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5.3,136,71,0.53,0.1556,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,8.5,212,122,0.13,0.1403,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,9.4,46,23,1.19,0.3214,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,4.7,266,104,1.76,0.1454,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,7.1,120,60,1.47,0.2041,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,6,546,212,0.11,0.0867,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,7.33,210,108,0.63,0.1403,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,8.2,274,106,0.65,0.1276,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5,72,18,0.44,0.2755,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,8.1,66,35,0.6,0.2526,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,10.27,24,11,0.54,0.4184,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,3.28,65,34,0.09,0.25,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,4.7,98,49,-0.12,0.2015,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,9,77,35,0.46,0.2321,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,11.3,42,22,5.05,0.6556,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,9,403,31,0.4,0.1888,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,9.84,84,46,0.73,0.227,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,7.53,99,59,0.5,0.2066,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,4.94,131,69,6.39,0.4362,SMD,SMD
Sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5.23,341,169,0.24,0.1097,SMD,SMD
sleep_sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,3.6,1203,734,0.6949,0.0608,SMD,SMD
sleep_sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,13.5,718,249,0.3539,0.079,SMD,SMD
sleep_sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,5.9,869,400,0.6824,0.07,SMD,SMD
sleep_sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,8.7,870,401,0.6211,0.0696,SMD,SMD
Sleep_sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,11.17,96,48,-1.1255,0.2197,SMD,SMD
sleep_Sleep anxiety,Sleep,Sleep_Sleep anxiety_SMD,,6.225,21,11,1.77,0.5306,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5.5,34,22,0.1245,0.3592,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5.1,30,18,0.105,0.3729,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5.3,136,71,0.33,0.1735,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,8.5,212,122,0.32,0.1633,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,9.4,46,23,0.44,0.301,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,4.7,266,104,0.13,0.125,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,7.1,120,60,0.1,0.1837,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,6,546,212,0.34,0.0867,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,7.33,210,108,0.38,0.1403,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,8.2,274,106,0.62,0.125,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5,72,18,0.97,0.2832,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,8.1,66,35,-0.35,0.2474,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,10.27,24,11,-0.05,0.4107,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,3.28,65,34,0.51,0.2526,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,4.7,98,49,0.17,0.2015,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,9,77,35,0,0.2296,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,11.3,42,22,1.22,0.3393,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,9,403,31,0.49,0.1862,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,9.84,84,46,0.27,0.2219,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,11.66,119,64,0.93,0.1964,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,10.1,113,52,0.26,0.1888,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,7.49,277,166,0.84,0.1276,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,7.53,99,59,0.12,0.2041,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,4.94,131,69,3.42,0.2781,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,9.6,310,67,0.21,0.1378,SMD,SMD
Sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5.23,341,169,0.24,0.1097,SMD,SMD
sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,3.6,1203,734,0.3044,0.0594,SMD,SMD
sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,13.5,718,249,0.5899,0.0799,SMD,SMD
sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,5.9,869,400,0.3657,0.0686,SMD,SMD
sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,8.7,870,401,0.365,0.0686,SMD,SMD
Sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,11.17,96,48,0.5529,0.208,SMD,SMD
sleep_sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,11.53,944,60,0.252,0.1335,SMD,SMD
sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,6.225,21,11,0.88,0.4643,SMD,SMD
sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,3.9,168,84,-0.01,0.1531,SMD,SMD
sleep_Sleep disordered breathing,Sleep,Sleep_Sleep disordered breathing_SMD,,4.8,219,73,-0.66,0.1454,SMD,SMD
Sleep_sleep disturbance,Sleep,Sleep_Sleep problem_SMD,,34.41,72,36,0.1187,0.2359,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,5.5,34,22,0.8546,0.3735,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,5.1,30,18,1.814,0.4402,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,5.3,136,71,-0.27,0.1735,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,8.5,212,122,-0.72,0.1454,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,10.8,64,32,-0.38,0.2526,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,15.5,51,24,-0.47,0.2832,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,7.6,220,110,0.21,0.1352,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9.4,46,23,-1.14,0.3189,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,4.7,266,104,-1.34,0.1378,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,7.1,120,60,-1.19,0.199,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,6,546,212,-0.33,0.0893,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,7.33,210,108,-0.64,0.1429,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,8.2,274,106,-0.69,0.1276,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,5,72,18,-0.34,0.273,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,8.1,66,35,0.06,0.2474,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,10.27,24,11,-0.41,0.4133,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,3.28,65,34,-0.45,0.2526,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,4.7,98,49,-0.39,0.2041,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9,77,35,-0.31,0.2296,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,11.3,42,22,-3.03,0.4643,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9,403,31,-0.14,0.1888,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9.84,84,46,-0.92,0.2296,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,7.79,74,38,-0.62,0.2372,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9.12,47,12,0.24,0.3342,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,7.53,99,59,-0.64,0.2092,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,4.94,131,69,-6.85,0.4643,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,9.6,310,67,-0.81,0.1429,SMD,SMD
Sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,5.23,341,169,-0.12,0.1071,SMD,SMD
sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,3.6,1203,734,0.4667,0.0599,SMD,SMD
sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,13.5,718,249,1.0045,0.0828,SMD,SMD
sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,5.9,869,400,0.6498,0.0698,SMD,SMD
sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,8.7,870,401,0.8112,0.0707,SMD,SMD
Sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,11.17,96,48,0.7633,0.2114,SMD,SMD
sleep_sleep duration,Sleep,Sleep_Time in bed_SMD,,11.53,949,60,0.5412,0.134,SMD,SMD
sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,10.05,156,78,-0.75,0.1658,SMD,SMD
sleep_Sleep duration,Sleep,Sleep_Time in bed_SMD,,6.225,21,11,1.84,0.5383,SMD,SMD
Sleep_sleep duration (hrs),Sleep,Sleep_Time in bed_SMD,,34.41,72,36,-0.44,0.2372,SMD,SMD
Sleep_sleep duration (hrs),Sleep,Sleep_Time in bed_SMD,,21.1,105,27,0.26,0.2245,SMD,SMD
Sleep_sleep duration (hrs),Sleep,Sleep_Time in bed_SMD,,27.2,30,20,0.71,0.4005,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,12.7,20,8,-1.036,0.4849,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,11.9,22,10,-0.645,0.4391,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,18.2,18,10,-1.8223,0.5632,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,5.5,34,22,-1.7953,0.4198,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,5.1,30,18,-2.9236,0.5304,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,22.1,32,16,-1.8921,0.4254,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,24.2,22,6,-1.6319,0.5382,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,20.9,26,10,-1.633,0.4624,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,21.1,105,27,-4.3309,0.3731,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,3.93,137,89,-0.1225,0.171,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.8,64,32,-0.82,0.2602,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,15.5,51,24,-0.63,0.2883,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.36,18,13,-0.92,0.5536,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,8.89,50,21,-0.61,0.2934,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,7.8,44,21,-0.65,0.2168,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.27,24,11,-0.1,0.4107,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.27,24,11,0.18,0.4107,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,11.3,22,10,0.21,0.3291,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,11.3,36,19,-4.25,0.6276,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,9.4,34,16,-0.48,0.3469,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,16.88,29,10,0.45,0.3954,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,7.53,94,37,-0.08,0.2117,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,34.41,72,36,0.061,0.2358,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,34.41,72,36,0.3446,0.2375,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,34.41,72,36,-0.5431,0.24,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,15.6,41,28,-0.7873,0.3467,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,40.3,79,29,-1.287,0.255,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,21.1,105,27,-0.486,0.226,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,21.1,105,27,-0.656,0.228,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,27.2,30,20,0.197,0.388,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,27.2,30,20,-0.542,0.394,SMD,SMD
Sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,22,33,16,-0.088,0.348,SMD,SMD
sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,3.92,137,68,-0.24,0.1709,SMD,SMD
sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.05,156,78,-1.07,0.1735,SMD,SMD
sleep_sleep efficiency,Sleep,Sleep_Sleep efficiency_SMD,,10.7,38,19,0.13,0.3265,SMD,SMD
Sleep_Sleep efficiency (%),Sleep,Sleep_Sleep efficiency_SMD,,33,92,41,-1.11,0.227,SMD,SMD
Sleep_Sleep efficiency (%),Sleep,Sleep_Sleep efficiency_SMD,,30.8,24,10,-2.63,0.5459,SMD,SMD
sleep_sleep efficiency(%),Sleep,Sleep_Sleep efficiency_SMD,,6.225,21,11,-1.32,0.4235,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,12.7,20,8,0.431,0.4615,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,11.9,22,10,0.58,0.437,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,5.5,34,22,0.9556,0.3771,SMD,SMD
Sleep_sleep latency,Sleep,Sleep_Sleep latency_SMD,,5.1,30,18,1.6793,0.4312,SMD,SMD
Sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,22.1,32,16,2.6743,0.4866,SMD,SMD
Sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,24.2,22,6,3.2016,0.6798,SMD,SMD
Sleep_Sleep latency,Sleep,Sleep_Sleep latency_SMD,,20.9,26,10,1.7278,0.469,SMD,SMD
